S-10B
S-32D Kaldi 4 28.093645484949832 S:39, I:4, D:41
S-32D Google 5 39.130434782608695 S:28, I:0, D:62
S-32D Kaldi 5 23.47826086956522 S:35, I:1, D:18
S-32D Google 6 59.49367088607595 S:11, I:0, D:36
S-32D Kaldi 6 35.44303797468354 S:9, I:0, D:19
S-32D Google 7 50.0 S:18, I:0, D:37
S-32D Kaldi 7 29.09090909090909 S:11, I:0, D:21
S-32D Google 8 44.11764705882353 S:5, I:0, D:10
S-32D Kaldi 8 26.470588235294116 S:6, I:0, D:3
S-32D Google 9 38.55421686746988 S:27, I:1, D:36
S-32D Kaldi 9 30.72289156626506 S:31, I:1, D:19
S-32D Google 10 70.58823529411765 S:4, I:0, D:8
S-32D Kaldi 10 35.294117647058826 S:4, I:1, D:1
S-32D Google 11 48.333333333333336 S:14, I:7, D:8
S-32D Kaldi 11 25.0 S:5, I:6, D:4
S-22B
S-22B Google 0 43.946188340807176 S:34, I:2, D:62
S-22B Kaldi 0 25.112107623318387 S:36, I:4, D:16
S-22B Google 1 33.898305084745765 S:30, I:2, D:48
S-22B Kaldi 1 21.1864406779661 S:38, I:5, D:7
S-22B Google 2 37.5 S:102, I:5, D:112
S-22B Kaldi 2 21.575342465753426 S:84, I:13, D:29
S-22B Google 3 37.15415019762846 S:30, I:0, D:64
S-22B Kaldi 3 18.181818181818183 S:26, I:5, D:15
S-22B Google 4 44.02332361516035 S:55, I:0, D:96
S-22B Kaldi 4 23.03206997084548 S:42, I:2, D:35
S-22B Google 5 40.0 S:55, I:2, D:93
S-22B Kaldi 5 18.666666666666668 S:47, I:7, D:16
S-22B Google 6 48.57142857142857 S:7, I:0, D:10
S-22B Kaldi 6 25.714285714285715 S:4, I:0, D:5
S-22B Google 7 27.10843373493976 S:24, I:0, D:21
S-22B Kaldi 7 18.072289156626507 S:21, I:1, D:8
S-22B Google 8 35.242290748898675 S:32, I:1, D:47
S-22B Kaldi 8 18.502202643171806 S:28, I:2, D:12
S-22B Google 9 26.08695652173913 S:3, I:0, D:9
S-22B Kaldi 9 13.043478260869565 S:3, I:1, D:2
S-22B Google 10 30.88235294117647 S:32, I:1, D:30
S-22B Kaldi 10 20.098039215686274 S:31, I:2, D:8
S-22B Google 11 40.38461538461539 S:41, I:2, D:41
S-22B Kaldi 11 19.23076923076923 S:29, I:4, D:7
S-28D
S-4D
S-4D Google 0 55.74074074074074 S:115, I:7, D:179
